"SKU","Manufacturer Id","Brand Name","Product Name","Long Description","Short Description","Category","SubCategory","Product Group","Thumb URL","Image URL","Buy Link","Keywords","Reviews","Retail Price","Sale Price","Brand Page Link","Brand Logo Image","Product Page View Tracking","Gender","Age Group","Store Identifier","Product Price Markdown","Variants XML","Medium Image URL","Product Content Widget","Google Categorization"
"101575","KOALA_DOWN","Kammok","Kammok Koala Hammock Underquilt","The Koala hammock underquilt turns your hammock into an all-season sleep solution, reflecting and amplifying your body heat to create a toasty cocoon.","","Camping And Hiking","Sleeping Bags And Accessories","Camp Blankets","http://i1.avlws.com/115/s599302.png","http://i1.avlws.com/115/l599302.png","http://classic.avantlink.com/click.php?p=251529&pw=2435&pt=3&pri=599302&tt=df","","","329.00","329.00","","","<img src=""http://classic.avantlink.com/dfpv.php?p=251529&amp;pri=599302"" width=""0"" height=""0"" style=""border: none !important; margin: 0px !important;"" alt="""" />","","","REI","","<variants><variant><sku>101575</sku><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890002524577</detail_url></variant><variant><sku>1015750001</sku><upc>817838010299</upc><vendor_sku>KOALA_DOWN</vendor_sku><size>NONE</size><color>Roo Red/Stone Grey</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890002525165</detail_url></variant></variants>","http://i1.avlws.com/115/m599302.png","<script type=""text/javascript"" src=""http://classic.avantlink.com/apcw.php?mode=5&amp;pw=2435&amp;df=115&amp;sku=101575&amp;link=&amp;tabs=-Details""></script>",""
"106763","","Rumpl","Rumpl Down Puffy Blanket - Trekking","For the weight and space-conscious traveller, the Rumpl Down Puffy blanket can be used as a sleeping bag while backpacking during mild months, or as a warm companion at the family campsite.","","Camping And Hiking","Sleeping Bags And Accessories","Camp Blankets","http://i1.avlws.com/115/s600869.png","http://i1.avlws.com/115/l600869.png","http://classic.avantlink.com/click.php?p=251529&pw=2435&pt=3&pri=600869&tt=df","","","199.00","199.00","","","<img src=""http://classic.avantlink.com/dfpv.php?p=251529&amp;pri=600869"" width=""0"" height=""0"" style=""border: none !important; margin: 0px !important;"" alt="""" />","unisex","adult","REI","","<variants><variant><sku>106763</sku><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890002756904</detail_url></variant><variant><sku>1067630001</sku><upc>412046200021</upc><vendor_sku>220-062-BLK-CYN</vendor_sku><size>Trekking</size><color>Black/Cyan</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890002757180</detail_url></variant></variants>","http://i1.avlws.com/115/m600869.png","<script type=""text/javascript"" src=""http://classic.avantlink.com/apcw.php?mode=5&amp;pw=2435&amp;df=115&amp;sku=106763&amp;link=&amp;tabs=-Details""></script>",""
"106816","OGP-THR-DPW-DPW-RED-001","Rumpl","Rumpl Puffy Throw Blanket","The ideal size for your camp chair or your couch, the Puffy throw by Rumpl is a premium, versatile blanket that can be used anywhere you go or when you don't go anywhere.","","Camping And Hiking","Sleeping Bags And Accessories","Camp Blankets","http://i1.avlws.com/115/s602435.png","http://i1.avlws.com/115/l602435.png","http://classic.avantlink.com/click.php?p=251529&pw=2435&pt=3&pri=602435&tt=df","","","99.00","99.00","","","<img src=""http://classic.avantlink.com/dfpv.php?p=251529&amp;pri=602435"" width=""0"" height=""0"" style=""border: none !important; margin: 0px !important;"" alt="""" />","","","REI","","<variants><variant><sku>106816</sku><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890002756915</detail_url></variant><variant><sku>1068160001</sku><upc>859225005013</upc><vendor_sku>OGP-THR-CHR-CHR-CYN-001</vendor_sku><size>Throw</size><color>Charcoal</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890002757150</detail_url></variant><variant><sku>1068160002</sku><upc>859225005006</upc><vendor_sku>OGP-THR-DPW-DPW-RED-001</vendor_sku><size>Throw</size><color>Deepwater</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890002757149</detail_url></variant><variant><sku>1068160006</sku><upc>859225005587</upc><vendor_sku>OGP-THR-CTZ-CTZ-SEA-001</vendor_sku><size>Throw</size><color>Cortez</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890003730699</detail_url></variant><variant><sku>1068160008</sku><upc>816325021923</upc><vendor_sku>OGP-THR-MAZ-MAZ-CTZ-001</vendor_sku><size>Throw</size><color>Maize</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890003730701</detail_url></variant><variant><sku>1068160010</sku><upc>816325022593</upc><vendor_sku>OGP-THR-BRN-BRN-BLK-002</vendor_sku><size>Throw</size><color>Barn Red</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890004140405</detail_url></variant><variant><sku>1068160011</sku><upc>816325022623</upc><vendor_sku>OGP-THR-SLT-SLT-SFY-003</vendor_sku><size>Throw</size><color>Slate Blue</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890004140496</detail_url></variant></variants>","http://i1.avlws.com/115/m602435.png","<script type=""text/javascript"" src=""http://classic.avantlink.com/apcw.php?mode=5&amp;pw=2435&amp;df=115&amp;sku=106816&amp;link=&amp;tabs=-Details""></script>",""
"106818","","Rumpl","Rumpl Puffy Blanket - Queen","Use the premium Rumpl Puffy blanket anywhere you go or when you're holed up at home. It offers cozy comfort and the durability to withstand harsh environments.","","Camping And Hiking","Sleeping Bags And Accessories","Camp Blankets","http://i1.avlws.com/115/s602437.png","http://i1.avlws.com/115/l602437.png","http://classic.avantlink.com/click.php?p=251529&pw=2435&pt=3&pri=602437&tt=df","","","199.00","199.00","","","<img src=""http://classic.avantlink.com/dfpv.php?p=251529&amp;pri=602437"" width=""0"" height=""0"" style=""border: none !important; margin: 0px !important;"" alt="""" />","","","REI","","<variants><variant><sku>106818</sku><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890002756917</detail_url></variant><variant><sku>1068180006</sku><upc>816325022616</upc><vendor_sku>OGP-TWO-BRN-BRN-BLK-002</vendor_sku><size>2 Person</size><color>Barn Red</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890004351966</detail_url></variant><variant><sku>1068180007</sku><upc>816325022647</upc><vendor_sku>OGP-TWO-SLT-SLT-SFY-003</vendor_sku><size>2 Person</size><color>Slate Blue</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890004351971</detail_url></variant></variants>","http://i1.avlws.com/115/m602437.png","<script type=""text/javascript"" src=""http://classic.avantlink.com/apcw.php?mode=5&amp;pw=2435&amp;df=115&amp;sku=106818&amp;link=&amp;tabs=-Details""></script>",""
"112465","","Rumpl","Rumpl Puffy Ocean Fade Blanket - Throw","An REI exclusive, the limited edition Rumpl Puffy Ocean Fade throw-size blanket is the ideal size for your camp chair or couch, providing comforting warmth wherever and whenever you need it.","","Camping And Hiking","Sleeping Bags And Accessories","Camp Blankets","http://i1.avlws.com/115/s613193.png","http://i1.avlws.com/115/l613193.png","http://classic.avantlink.com/click.php?p=251529&pw=2435&pt=3&pri=613193&tt=df","","","129.00","129.00","","","<img src=""http://classic.avantlink.com/dfpv.php?p=251529&amp;pri=613193"" width=""0"" height=""0"" style=""border: none !important; margin: 0px !important;"" alt="""" />","","","REI","","<variants><variant><sku>112465</sku><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890003428149</detail_url></variant><variant><sku>1124650001</sku><upc>816325021749</upc><vendor_sku>210-021-OCN-OCN-009</vendor_sku><size>Throw</size><color>Ocean</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890003428401</detail_url></variant></variants>","http://i1.avlws.com/115/m613193.png","<script type=""text/javascript"" src=""http://classic.avantlink.com/apcw.php?mode=5&amp;pw=2435&amp;df=115&amp;sku=112465&amp;link=&amp;tabs=-Details""></script>",""
"116784","OGP-THR-TRE-FGR-MOS-001","Rumpl","Rumpl Puffy Blanket","A premium blanket that can be used anywhere you go, the Rumpl Puffy blanket incorporates the same proven materials and construction technologies used in many sleeping bags.","","Camping And Hiking","Sleeping Bags And Accessories","Camp Blankets","http://i1.avlws.com/115/s619935.png","http://i1.avlws.com/115/l619935.png","http://classic.avantlink.com/click.php?p=251529&pw=2435&pt=3&pri=619935&tt=df","","","129.00","129.00","","","<img src=""http://classic.avantlink.com/dfpv.php?p=251529&amp;pri=619935"" width=""0"" height=""0"" style=""border: none !important; margin: 0px !important;"" alt="""" />","","","REI","","<variants><variant><sku>116784</sku><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890003868230</detail_url></variant><variant><sku>1167840002</sku><upc>816325022012</upc><vendor_sku>OGP-THR-TRE-FGR-MOS-001</vendor_sku><size>Throw</size><color>Old Growth</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890003870277</detail_url></variant><variant><sku>1167840004</sku><upc>816325022654</upc><vendor_sku>OGP-THR-FFD-FGR-MOS-003</vendor_sku><size>Throw</size><color>Forest Fade</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890004140377</detail_url></variant></variants>","http://i1.avlws.com/115/m619935.png","<script type=""text/javascript"" src=""http://classic.avantlink.com/apcw.php?mode=5&amp;pw=2435&amp;df=115&amp;sku=116784&amp;link=&amp;tabs=-Details""></script>",""
"117447","","Eno","ENO Blaze Hammock UnderQuilt","No more stowing away your hammock when winter comes roaring through. This ENO Blaze(TM) underquilt is packed with down to keep you warm while the cold season offers up all-new adventures.","","Camping And Hiking","Sleeping Bags And Accessories","Camp Blankets","http://i1.avlws.com/115/s627563.png","http://i1.avlws.com/115/l627563.png","http://classic.avantlink.com/click.php?p=251529&pw=2435&pt=3&pri=627563&tt=df","","","299.95","299.95","","","<img src=""http://classic.avantlink.com/dfpv.php?p=251529&amp;pri=627563"" width=""0"" height=""0"" style=""border: none !important; margin: 0px !important;"" alt="""" />","","","REI","","<variants><variant><sku>117447</sku><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890004423990</detail_url></variant><variant><sku>1174470001</sku><upc>811201017076</upc><vendor_sku>A40050</vendor_sku><size>NONE</size><color>Charcoal/Lime</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890004424761</detail_url></variant></variants>","http://i1.avlws.com/115/m627563.png","<script type=""text/javascript"" src=""http://classic.avantlink.com/apcw.php?mode=5&amp;pw=2435&amp;df=115&amp;sku=117447&amp;link=&amp;tabs=-Details""></script>",""
"117448","","Eno","ENO Ignitor TopQuilt Blanket","This down ENO Ignitor(TM) TopQuilt blanket extends your 3-season hammock camping well into winter, or just provides you with a roomier option if a standard sleeping bag is too confining.","","Camping And Hiking","Sleeping Bags And Accessories","Camp Blankets","http://i1.avlws.com/115/s627572.png","http://i1.avlws.com/115/l627572.png","http://classic.avantlink.com/click.php?p=251529&pw=2435&pt=3&pri=627572&tt=df","","","229.95","229.95","","","<img src=""http://classic.avantlink.com/dfpv.php?p=251529&amp;pri=627572"" width=""0"" height=""0"" style=""border: none !important; margin: 0px !important;"" alt="""" />","","","REI","","<variants><variant><sku>117448</sku><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890004423991</detail_url></variant><variant><sku>1174480001</sku><upc>811201017090</upc><vendor_sku>A40070</vendor_sku><size>NONE</size><color>Charcoal/Lime</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890004424765</detail_url></variant></variants>","http://i1.avlws.com/115/m627572.png","<script type=""text/javascript"" src=""http://classic.avantlink.com/apcw.php?mode=5&amp;pw=2435&amp;df=115&amp;sku=117448&amp;link=&amp;tabs=-Details""></script>",""
"118931","","Rei Co-Op","REI Co-op Hammock Underquilt","Add some insulation to the bottom of your hammock and sleep warmer all year round. The REI Co-op hammock underquilt uses ultralight synthetic insulation to keep you warm down to 30degF.","","Camping And Hiking","Sleeping Bags And Accessories","Camp Blankets","http://i1.avlws.com/115/s625054.png","http://i1.avlws.com/115/l625054.png","http://classic.avantlink.com/click.php?p=251529&pw=2435&pt=3&pri=625054&tt=df","","","99.95","99.95","","","<img src=""http://classic.avantlink.com/dfpv.php?p=251529&amp;pri=625054"" width=""0"" height=""0"" style=""border: none !important; margin: 0px !important;"" alt="""" />","","","REI","","<variants><variant><sku>118931</sku><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890004264440</detail_url></variant><variant><sku>1189310001</sku><upc>411893100010</upc><vendor_sku>19267</vendor_sku><size>NONE</size><color>Dark Obsidian</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890004264567</detail_url></variant></variants>","http://i1.avlws.com/115/m625054.png","<script type=""text/javascript"" src=""http://classic.avantlink.com/apcw.php?mode=5&amp;pw=2435&amp;df=115&amp;sku=118931&amp;link=&amp;tabs=-Details""></script>",""
"119875","","Nemo","NEMO Puffin Blanket","Perfect for cuddling in comfort at home, in camp or on the go, the NEMO Puffin blanket uses outdoor technical fabrics that are soft, quiet and remarkably warm.","","Camping And Hiking","Sleeping Bags And Accessories","Camp Blankets","http://i1.avlws.com/115/s621279.png","http://i1.avlws.com/115/l621279.png","http://classic.avantlink.com/click.php?p=251529&pw=2435&pt=3&pri=621279&tt=df","","","99.95","99.95","","","<img src=""http://classic.avantlink.com/dfpv.php?p=251529&amp;pri=621279"" width=""0"" height=""0"" style=""border: none !important; margin: 0px !important;"" alt="""" />","","","REI","","<variants><variant><sku>119875</sku><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890003917261</detail_url></variant><variant><sku>1198750001</sku><upc>814041017633</upc><size>NONE</size><color>Persimmion/Fission</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890003917561</detail_url></variant></variants>","http://i1.avlws.com/115/m621279.png","<script type=""text/javascript"" src=""http://classic.avantlink.com/apcw.php?mode=5&amp;pw=2435&amp;df=115&amp;sku=119875&amp;link=&amp;tabs=-Details""></script>",""
"120461","DNP-TWO-BLK-BLK-CYN-001","Rumpl","Rumpl Down Puffy Blanket - 2-Person","Lightweight and packable to wrap you up against the elements (including indoor chills), the Rumpl Down Puffy 2-Person blanket is filled with water-resistant down protected by ripstop nylon.","","Camping And Hiking","Sleeping Bags And Accessories","Camp Blankets","http://i1.avlws.com/115/s621895.png","http://i1.avlws.com/115/l621895.png","http://classic.avantlink.com/click.php?p=251529&pw=2435&pt=3&pri=621895&tt=df","","","299.00","299.00","","","<img src=""http://classic.avantlink.com/dfpv.php?p=251529&amp;pri=621895"" width=""0"" height=""0"" style=""border: none !important; margin: 0px !important;"" alt="""" />","","","REI","","<variants><variant><sku>120461</sku><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890003912665</detail_url></variant><variant><sku>1204610001</sku><upc>816325022043</upc><vendor_sku>DNP-TWO-BLK-BLK-CYN-001</vendor_sku><size>2 Person</size><color>Black/Cyan</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890004140346</detail_url></variant></variants>","http://i1.avlws.com/115/m621895.png","<script type=""text/javascript"" src=""http://classic.avantlink.com/apcw.php?mode=5&amp;pw=2435&amp;df=115&amp;sku=120461&amp;link=&amp;tabs=-Details""></script>",""
"120462","DNP-ONE-BAJ-BAJ-PUM-001","Rumpl","Rumpl Down Puffy Blanket","A great sleeping bag replacement while backpacking during mild months, the Rumpl Down Puffy blanket also serves as a cozy companion while you spin yarns to the kids around the campground fire.","","Camping And Hiking","Sleeping Bags And Accessories","Camp Blankets","http://i1.avlws.com/115/s619924.png","http://i1.avlws.com/115/l619924.png","http://classic.avantlink.com/click.php?p=251529&pw=2435&pt=3&pri=619924&tt=df","","","199.00","199.00","","","<img src=""http://classic.avantlink.com/dfpv.php?p=251529&amp;pri=619924"" width=""0"" height=""0"" style=""border: none !important; margin: 0px !important;"" alt="""" />","unisex","adult","REI","","<variants><variant><sku>120462</sku><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890003868094</detail_url></variant><variant><sku>1204620002</sku><upc>859225005396</upc><vendor_sku>DNP-ONE-BLK-BLK-CYN-001</vendor_sku><size>1 Person</size><color>Black/Cyan</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890003870785</detail_url></variant><variant><sku>1204620001</sku><upc>816325021992</upc><vendor_sku>DNP-ONE-BAJ-BAJ-PUM-001</vendor_sku><size>1 Person</size><color>Baja Blue/Pumpkin</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890003870794</detail_url></variant><variant><sku>1204620004</sku><upc>816325022838</upc><vendor_sku>DNP-ONE-BFD-BAJ-PUM-003</vendor_sku><size>1 Person</size><color>Baja Fade</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890004140669</detail_url></variant><variant><sku>1204620003</sku><upc>816325022692</upc><vendor_sku>DNP-ONE-RWD-RWD-CTZ-002</vendor_sku><size>1 Person</size><color>Redwood/Cortez</color><detail_url>http://classic.avantlink.com/click.php?tt=cl&amp;mi=10248&amp;pw=2435&amp;url=http%3A%2F%2Ftracking.searchmarketing.com%2Fclick.asp%3Faid%3D120217890004351926</detail_url></variant></variants>","http://i1.avlws.com/115/m619924.png","<script type=""text/javascript"" src=""http://classic.avantlink.com/apcw.php?mode=5&amp;pw=2435&amp;df=115&amp;sku=120462&amp;link=&amp;tabs=-Details""></script>",""
